time,mem_a,pulse_a,mem_b,pulse_b,i_b
0.002511000,0.028655,0.000000,0.002142,0.000000,0.000000e0
0.002511250,0.028899,0.000000,0.002142,0.000000,0.000000e0
0.002511500,0.029143,0.000000,0.002141,0.000000,0.000000e0
0.002511750,0.029387,0.000000,0.002141,0.000000,0.000000e0
0.002512000,0.029631,0.000000,0.002140,0.000000,0.000000e0
0.002512250,0.029875,0.000000,0.002140,0.000000,0.000000e0
0.002512500,0.030119,0.000000,0.002139,0.000000,0.000000e0
0.002512750,0.030363,0.000000,0.002139,0.000000,0.000000e0
0.002513000,0.030606,0.000000,0.002139,0.000000,0.000000e0
0.002513250,0.030850,0.000000,0.002138,0.000000,0.000000e0
0.002513500,0.031093,0.000000,0.002138,0.000000,0.000000e0
0.002513750,0.031337,0.000000,0.002137,0.000000,0.000000e0
0.002514000,0.031580,0.000000,0.002137,0.000000,0.000000e0
0.002514250,0.031824,0.000000,0.002136,0.000000,0.000000e0
0.002514500,0.032067,0.000000,0.002136,0.000000,0.000000e0
0.002514750,0.032311,0.000000,0.002135,0.000000,0.000000e0
0.002515000,0.032554,0.000000,0.002135,0.000000,0.000000e0
0.002515250,0.032797,0.000000,0.002135,0.000000,0.000000e0
0.002515500,0.033040,0.000000,0.002134,0.000000,0.000000e0
0.002515750,0.033283,0.000000,0.002134,0.000000,0.000000e0
0.002516000,0.033526,0.000000,0.002133,0.000000,0.000000e0
0.002516250,0.033769,0.000000,0.002133,0.000000,0.000000e0
0.002516500,0.034012,0.000000,0.002132,0.000000,0.000000e0
0.002516750,0.034255,0.000000,0.002132,0.000000,0.000000e0
0.002517000,0.034498,0.000000,0.002131,0.000000,0.000000e0
0.002517250,0.034741,0.000000,0.002131,0.000000,0.000000e0
0.002517500,0.034984,0.000000,0.002131,0.000000,0.000000e0
0.002517750,0.035226,0.000000,0.002130,0.000000,0.000000e0
0.002518000,0.035469,0.000000,0.002130,0.000000,0.000000e0
0.002518250,0.035712,0.000000,0.002129,0.000000,0.000000e0
0.002518500,0.035954,0.000000,0.002129,0.000000,0.000000e0
0.002518750,0.036197,0.000000,0.002128,0.000000,0.000000e0
0.002519000,0.036439,0.000000,0.002128,0.000000,0.000000e0
0.002519250,0.036682,0.000000,0.002127,0.000000,0.000000e0
0.002519500,0.036924,0.000000,0.002127,0.000000,0.000000e0
0.002519750,0.037166,0.000000,0.002127,0.000000,0.000000e0
0.002520000,0.037409,0.000000,0.002126,0.000000,0.000000e0
0.002520250,0.037651,0.000000,0.002126,0.000000,0.000000e0
0.002520500,0.037893,0.000000,0.002125,0.000000,0.000000e0
0.002520750,0.038135,0.000000,0.002125,0.000000,0.000000e0
0.002521000,0.038377,0.000000,0.002124,0.000000,0.000000e0
0.002521250,0.038619,0.000000,0.002124,0.000000,0.000000e0
0.002521500,0.038861,0.000000,0.002123,0.000000,0.000000e0
0.002521750,0.039103,0.000000,0.002123,0.000000,0.000000e0
0.002522000,0.039345,0.000000,0.002123,0.000000,0.000000e0
0.002522250,0.039587,0.000000,0.002122,0.000000,0.000000e0
0.002522500,0.039828,0.000000,0.002122,0.000000,0.000000e0
0.002522750,0.040070,0.000000,0.002121,0.000000,0.000000e0
0.002523000,0.040312,0.000000,0.002121,0.000000,0.000000e0
0.002523250,0.040553,0.000000,0.002120,0.000000,0.000000e0
0.002523500,0.040795,0.000000,0.002120,0.000000,0.000000e0
0.002523750,0.041036,0.000000,0.002119,0.000000,0.000000e0
0.002524000,0.041278,0.000000,0.002119,0.000000,0.000000e0
0.002524250,0.041519,0.000000,0.002119,0.000000,0.000000e0
0.002524500,0.041761,0.000000,0.002118,0.000000,0.000000e0
0.002524750,0.042002,0.000000,0.002118,0.000000,0.000000e0
0.002525000,0.042243,0.000000,0.002117,0.000000,0.000000e0
0.002525250,0.042484,0.000000,0.002117,0.000000,0.000000e0
0.002525500,0.042725,0.000000,0.002116,0.000000,0.000000e0
0.002525750,0.042967,0.000000,0.002116,0.000000,0.000000e0
